,Stress (GPa),Strain
0,0.0032484245763897686,0.0
1,0.008475361876341441,6.75e-07
2,0.01131148844011358,1.35e-06
3,0.01191687814635721,2.0249999999999997e-06
4,0.010647911586494668,2.7e-06
5,0.008515793334967934,3.375e-06
6,0.006444058989801104,4.049999999999999e-06
7,0.004392662243461181,4.725e-06
8,0.0015488992382812464,5.4e-06
9,-0.002502795319037357,6.075e-06
10,-0.007000718234122371,6.75e-06
11,-0.011135867015231296,7.425e-06
12,-0.014894116897647375,8.099999999999999e-06
13,-0.018593381752907836,8.775e-06
14,-0.022254797367245425,9.45e-06
15,-0.025113366281008697,1.0124999999999999e-05
16,-0.025775941502262208,1.08e-05
17,-0.023399376715832067,1.1475e-05
18,-0.01854663742753237,1.215e-05
19,-0.012426362853245235,1.2825e-05
20,-0.005775206798231404,1.35e-05
21,0.0011100661103998176,1.4175e-05
22,0.007698149045991223,1.485e-05
23,0.013457322310901805,1.5525e-05
24,0.018416027127623698,1.6199999999999997e-05
25,0.02309810746263398,1.6874999999999997e-05
26,0.028273514565600743,1.755e-05
27,0.034870824389896034,1.8225e-05
28,0.04346410355626398,1.89e-05
29,0.053442303417473906,1.9574999999999998e-05
30,0.06332502875075899,2.0249999999999998e-05
31,0.07224261819056495,2.0925e-05
32,0.08036101539270807,2.16e-05
33,0.0879182286336611,2.2275e-05
34,0.09490777940013742,2.295e-05
35,0.1014385650931972,2.3624999999999998e-05
36,0.10754335415902513,2.43e-05
37,0.11282748043060706,2.4974999999999997e-05
38,0.11658782438113723,2.565e-05
39,0.11815992063011958,2.6324999999999996e-05
40,0.11725866136051974,2.7e-05
41,0.11403723331964159,2.7675e-05
42,0.10885487192847715,2.835e-05
43,0.10210516862509912,2.9024999999999997e-05
44,0.09453312254101219,2.97e-05
45,0.08714683323698891,3.0375e-05
46,0.08069690302699083,3.105e-05
47,0.07582730879783876,3.1725e-05
48,0.07290232285907676,3.2399999999999995e-05
49,0.07163274818877782,3.3075e-05
50,0.07162834605997552,3.3749999999999994e-05
51,0.07277898350512291,3.4424999999999997e-05
52,0.07436175577225151,3.51e-05
53,0.07500084791430746,3.5775e-05
54,0.07418349332559751,3.645e-05
55,0.07311121685083635,3.7125e-05
56,0.07334264990988663,3.78e-05
57,0.074851447679217,3.8475e-05
58,0.07645052919715645,3.9149999999999996e-05
59,0.0776284648941153,3.9825e-05
60,0.07921682181320525,4.0499999999999995e-05
61,0.0824669380770095,4.1175e-05
62,0.08771350332308665,4.185e-05
63,0.09393103208706524,4.2525000000000004e-05
64,0.09968774356174237,4.32e-05
65,0.10452023892755359,4.3874999999999996e-05
66,0.1092098396858238,4.455e-05
67,0.11452636368744618,4.5224999999999995e-05
